Film,
------,------
300,"Action movies, inpired from 300 directed by Zack Snyder"
2001: A Space Odyssey,"Sci-Fi movies, inpired from 2001: A Space Odyssey directed by Stanley Kubrick"
2010: The Year We Make Contact,"Sci-Fi movies, inpired from 2010: The Year We Make Contact directed by Peter Hyams"
8½,"Drama movies, inpired from 8½ directed by Federico Fellini"
A Nightmare on Elm Street,"Horror movies, inpired from A Nightmare on Elm Street directed by Wes Craven"
Alien,"Sci-Fi movies, inpired from Alien directed by Ridley Scott"
Aliens,"Action movies, inpired from Aliens directed by James Cameron"
All About My Mother,"Comedy movies, inpired from All About My Mother directed by Pedro Almodovar"
All That Jazz,"Musical movies, inpired from All That Jazz directed by Bob Fosse"
An American in Paris,"Musical movies, inpired from An American in Paris directed by Gene Kelly"
Annie Hall,"Comedy movies, inpired from Annie Hall directed by Woody Allen"
Antichrist,"Horror movies, inpired from Antichrist directed by Lars Von Trier"
Arrival,"Sci-Fi movies, inpired from Arrival directed by Denis Villeneuve"
Avatar,"Sci-Fi movies, inpired from Avatar directed by James Cameron"
Babel,"Drama movies, inpired from Babel directed by Alejandro González Iñárritu"
Back to the Future,"Historical movies, inpired from Back to the Future directed by Robert Zemeckis"
Bad Boys,"Action movies, inpired from Bad Boys directed by Michael Bay"
Beetlejuice,"Fantasy movies, inpired from Beetlejuice directed by Tim Burton"
Birdman,"Drama movies, inpired from Birdman directed by Alejandro González Iñárritu"
Black Swan,"Thriller movies, inpired from Black Swan directed by Darren Aronofsky"
Blade Runner,"Sci-Fi movies, inpired from Blade Runner directed by Ridley Scott"
Blade Runner 2049,"Sci-Fi movies, inpired from Blade Runner 2049 directed by Denis Villeneuve"
Blazing Saddles,"Comedy movies, inpired from Blazing Saddles directed by Mel Brooks"
Blue Velvet,"Horror movies, inpired from Blue Velvet directed by David Lynch"
Blue Velvet,"Thriller movies, inpired from Blue Velvet directed by David Lynch"
Braveheart,"Historical movies, inpired from Braveheart directed by Mel Gibson"
Brokeback Mountain,"Historical movies, inpired from Brokeback Mountain directed by Ang Lee"
Cabaret,"Musical movies, inpired from Cabaret directed by Bob Fosse"
Citizen Kane,"Thriller movies, inpired from Citizen Kane directed by Orson Welles"
City Lights,"Comedy movies, inpired from City Lights directed by Charlie Chaplin"
Collateral,"Crime movies, inpired from Collateral directed by Michael Mann"
Cube,"Horror movies, inpired from Cube directed by Vincenzo Natali"
Day for Night,"Drama movies, inpired from Day for Night directed by François Truffaut"
Desperado,"Action movies, inpired from Desperado directed by Robert Rodriguez"
Doctor Strange,"Superhero movies, inpired from Doctor Strange directed by Sam Raimi"
