Camera Option,
------,------
Ambiance-Adventure/Action,GoPro HERO10 Black
Ambiance-Bright and vibrant,Canon EOS R6 with Canon EF 16-35mm f/2.8L III USM lens
Ambiance-Dark and moody,Sony a7S III with Sony FE 50mm f/1.4 ZA lens
Ambiance-Documentary,Canon EOS C300 Mark III with Canon CN-E 24mm T1.5 L F lens
Ambiance-Fantasy,Fujifilm X-T4 with Fujinon XF 56mm f/1.2 R lens
Ambiance-Historical,Fujifilm GFX 100S with Fujinon GF 23mm f/4 R LM WR lens
Ambiance-Historical,Nikon Z7 II with Nikkor Z 50mm f/1.2 S lens
Ambiance-Horror,Blackmagic Pocket Cinema Camera 6K Pro with Sigma 18-35mm f/1.8 DC HSM Art lens
Ambiance-Mystical,Nikon D6 with Nikon AF-S NIKKOR 24mm f/1.4G ED lens
Ambiance-Romantic,Canon EOS R with Canon RF 50mm f/1.2L USM lens
Ambiance-Rustic,Panasonic Lumix GH5S with Sigma 18-35mm f/1.8 DC HSM Art lens
"Angle-Aerial Shot, Bird’s-Eye View",DJI Phantom 4 Pro drone camera
Angle-Close-up Shot,Canon EOS 5D Mark IV camera with a Canon EF 50mm f/1.2L USM lens
Angle-Extreme Close-Up Shot,Canon EOS 5D Mark IV camera with a Canon EF 100mm f/2.8L Macro IS USM lens
Angle-Extreme High-Angle Shot,Canon EOS 5D Mark IV camera with a Canon EF 70-200mm f/2.8L IS III USM lens on a high-angle tripod
Angle-Extreme Low-Angle Shot,Canon EOS 5D Mark IV camera with a Canon EF 14mm f/2.8L II USM lens on a low-angle tripod
Angle-Eye-Level Shot,Sony Alpha a7 III camera with a Sony FE 24-105mm f/4 G OSS lens
Angle-Full Shot,Canon EOS 5D Mark IV camera with a Canon EF 16-35mm f/2.8L III USM lens
Angle-GoPro-Style,GoPro HERO9 Black camera with GoPro Super Suit Dive Housing
Angle-Ground-Level Shot,Canon EOS-1DX Mark III camera with a Canon EF 24-70mm f/2.8L II USM lens
Angle-High-Angle Shot,Nikon D850 camera with a Nikkor 24-70mm f/2.8E ED VR lens
Angle-Low-Angle Shot,Sony Alpha a7 III camera with a Sony FE 16-35mm f/2.8 GM lens
Angle-Medium Shot,Canon EOS 5D Mark IV camera with a Canon EF 24-70mm f/2.8L II USM lens
Angle-Shot from Behind,Nikon D850 camera with a Nikkor 70-200mm f/2.8E FL ED VR lens
Angle-Side-Angle,Panasonic Lumix GH5S camera with a Panasonic Lumix 12-35mm f/2.8 II lens
Angle-Underwater Close-Up Shot,Canon EOS 5D Mark IV camera with a Canon EF 100mm f/2.8L Macro IS USM lens in an underwater housing
Angle-Underwater Shot,Canon EOS-1D X Mark II camera with a Canon EF 8-15mm f/4L Fisheye USM lens in an underwater housing
Angle-Webcam-Style Shot,Logitech C920 HD Pro Webcam
General-Action,Canon EOS-1D X Mark II
General-Aerial Shots,DJI Phantom 4 Pro drone camera
General-Cinematic,Sony CineAlta
General-Cinematic,Canon Cinema EOS
General-Cinematic,Phantom High-Speed Camera
General-Cinematic,Blackmagic Design Camera
General-Cinematic,Arri Alexa
General-Event,Canon EOS 5D Mark IV
General-Fashion,Hasselblad X1D
General-General,Panasonic Lumix GH5S
General-Landscape,Canon EOS 5D Mark IV
General-Landscape,Hasselblad X1D
General-Landscape,Nikon D850
General-Nostalgic Style,Kodak Portra 800 film
General-Portrait,Nikon D850
General-Portraiture,Canon EOS 5D Mark IV
General-Product,Hasselblad X1D
General-Sports,Sony Alpha a7 III
General-Sports,Canon EOS-1D X Mark II
General-Street,Sony Alpha a7 III
General-Vintage Film,Super-16
General-Wildlife,Sony Alpha a7 III
General-Wildlife,Canon EOS-1D X Mark II
Lighting-Foggy,Sony Alpha a7R IV with Sony FE 70-200mm f/2.8 GM OSS
Lighting-Hazy,Canon EOS R6 with Canon RF 24-105mm f/4L IS USM
Lighting-Overcast,Panasonic Lumix GH5S with Panasonic Lumix 12-35mm f/2.8 II
Lighting-Partly Cloudy,Nikon D850 with Nikkor 24-70mm f/2.8E ED VR
Lighting-Rainy,Sony Alpha a7 III with Sony FE 16-35mm f/2.8 GM
Lighting-Snowy,Canon EOS-1D X Mark II with Canon EF 24-105mm f/4L IS II USM
Lighting-Sunny,Canon EOS 5D Mark IV with Canon EF 24-70mm f/2.8L II USM
Time of the Day-Afternoon,Sony A7 III camera with a Sony FE 70-200mm f/2.8 GM OSS lens
Time of the Day-Golden Hour,Canon EOS R5 camera with a Canon RF 50mm f/1.2L USM lens
Time of the Day-Morning,Fujifilm X-T4 camera with a Fujinon XF 16-55mm f/2.8 R LM WR lens
Time of the Day-Night,Sony A7S III camera with a Sigma 35mm f/1.2 DG DN Art lens
Time of the Day-Sunrise,Sony A7R IV camera with a Canon RF 15-35mm f/2.8L IS USM lens
Time of the Day-Sunset,Sony A7R IV camera with a Sony FE 16-35mm f/2.8 GM lens
Time of the Day-Twilight,Panasonic Lumix S1H camera with a Panasonic Lumix S Pro 50mm f/1.4 lens
